id,skill,type,frequenza
103,Microsoft 365,software,3
104,Microsoft Entra ID,software,1
105,Microsoft Project,software,1
106,Microsoft Purview,software,1
107,Microsoft SQL Server,software,2
108,Microsoft Sentinel,software,2
109,Miro,software,2
110,MongoDB,software,2
111,NVIDIA TensorRT,software,1
112,Nessus,software,1
113,NetApp,software,1
114,Nmap,software,1
115,Okta,software,1
116,OneTrust,software,3
117,OpenAPI/Swagger,software,1
118,Oracle Database,software,2
119,Oscilloscopes & Logic Analyzers,software,2
120,Palo Alto Networks,software,2
121,PostgreSQL,software,7
122,Postman,software,3
123,Power BI,software,7
124,Power BI / Tableau,software,3
125,Prometheus,software,1
126,Prometheus/Grafana,software,2
127,Qlik Sense,software,1
128,Qualys,software,1
129,Redis,software,2
130,SAP,software,4
131,SAP GRC,software,1
132,SAP MDG/ERP,software,1
133,SAS,software,1
134,SIEM (Splunk/QRadar/Sentinel),software,4
135,SQL Server,software,1
136,STM32Cube,software,1
137,STM32CubeIDE,software,1
138,SailPoint,software,1
139,Salesforce,software,2
140,Sandbox Environments,software,1
141,Screen Readers,software,1
142,ServiceNow,software,3
143,ServiceNow GRC,software,1
144,Snowflake,software,5
145,Snyk,software,1
146,Splunk,software,3
147,Tableau,software,4
148,Tenable/Nessus,software,1
149,Terraform,software,14
150,Tokens Studio,software,1
151,VMware vSphere,software,6
152,Veeam,software,4
153,Visual Studio,software,1
154,Volatility,software,1
155,Windows Server,software,2
156,Windows Server & Active Directory,software,1
157,Wireshark,software,7
158,WordPress Core,software,1
159,Xcode,software,1
160,YARA,software,1
161,Zabbix/Nagios,software,1
162,.NET,framework,2
163,.NET Core,framework,3
164,.NET Framework,framework,1
165,AIF360,framework,1
166,ASP.NET Web API,framework,1
167,AWS CDK,framework,2
168,Actix-web,framework,1
169,Agile/Scrum,framework,5
170,Android SDK,framework,1
171,Angular,framework,5
172,Ansible,framework,2
173,Apache Airflow,framework,1
174,Apache Kafka,framework,3
175,Apache Spark,framework,8
176,Appium,framework,2
177,Backstage,framework,1
178,Bootstrap,framework,1
179,Bootstrap/Angular Material,framework,1
180,CIS Controls,framework,1
181,COBIT,framework,2
182,Combine,framework,1
183,Core Data,framework,1
184,Coroutines/Flow,framework,1
185,Cucumber,framework,2
186,Cypress,framework,2
187,Dagger/Hilt,framework,1
188,Design Sprints,framework,1
189,Django,framework,1
190,Embedded Linux & Yocto,framework,1
191,Entity Framework Core,framework,1
192,Fairlearn,framework,1
193,FastAPI,framework,4
194,Flask,framework,1
195,FreeRTOS,framework,1
196,Gin,framework,1
197,Hadoop,framework,1
198,Hibernate/JPA,framework,1
199,Hugging Face,framework,2
200,Hugging Face/LangChain,framework,1
201,ISO 27001,framework,2
202,ITIL,framework,2
203,JUnit,framework,1
204,Jetpack Compose,framework,1
205,LangChain,framework,2
206,Laravel,framework,2
207,Libsodium,framework,1
208,MITRE ATT&CK,framework,7
209,MLflow,framework,1
210,NIST,framework,1
211,NIST CSF,framework,5
212,NIST Privacy Framework,framework,1
213,Netmiko/NAPALM,framework,1
214,Next.js,framework,5
215,Node.js,framework,3
216,OWASP,framework,1
217,Open Policy Agent,framework,1
218,OpenCV,framework,1
219,OpenSSL,framework,1
220,Pandas,framework,5
221,Playwright,framework,2
222,PowerCLI,framework,1
223,PowerShell DSC,framework,2
224,PySpark,framework,1
225,PyTorch,framework,7
226,Pytest,framework,1
227,Qt,framework,2
228,REST APIs,framework,1
229,RSpec,framework,1
230,RTOS,framework,1
231,React,framework,14
232,Redux,framework,2
233,Retrofit,framework,1
234,Ruby on Rails,framework,1
235,RxJS,framework,1
236,SOAR,framework,1
237,STL/Boost,framework,1
238,Scikit-learn,framework,7
239,Selenium,framework,3
240,Serverless Framework,framework,1
241,Spring,framework,2
242,Spring Boot,framework,13
243,Spring Security,framework,1
244,State Management (NgRx),framework,1
245,Storybook,framework,1
246,SwiftUI,framework,1
247,Symfony,framework,1
248,TOGAF,framework,1
249,Tailwind CSS,framework,1
250,TensorFlow,framework,7
251,Terraform,framework,2
252,Terragrunt,framework,1
253,Tokio,framework,1
254,UIKit,framework,1
255,Unity,framework,1
256,Unreal Engine,framework,1
257,WooCommerce,framework,1
258,XGBoost,framework,1
259,Yocto Project,framework,1
260,Zephyr,framework,1
261,dbt,framework,2
262,gRPC,framework,1
263,spaCy,framework,1
264,API Design,knowledge,1
265,API Management,knowledge,1
266,API Testing,knowledge,3
267,ARM Cortex-M,knowledge,2
268,Accessibility (WCAG),knowledge,2
269,Active Directory,knowledge,1
270,Agile/Scrum,knowledge,53
271,Atomic Design,knowledge,1
272,Audit & Compliance Reporting,knowledge,1
273,Azure,knowledge,3
274,BPMN,knowledge,1
275,Backup & Disaster Recovery,knowledge,1
276,Backup & Recovery,knowledge,1
277,Bias Mitigation,knowledge,1
278,Big Data,knowledge,1
279,Blockchain & Smart Contracts,knowledge,1
280,CI/CD,knowledge,24
281,CISSP/CISM,knowledge,1
282,CVSS,knowledge,1
283,Chain of Custody,knowledge,1
284,Clean Architecture,knowledge,2
285,Clinical Trials,knowledge,1
286,Cloud Computing (AWS/Azure/GCP),knowledge,33
287,Cloud Networking,knowledge,2
288,Cloud Security (AWS/Azure/GCP),knowledge,12
289,Communication Protocols (I2C/SPI/UART),knowledge,2
290,Computer Vision,knowledge,2
291,Content Strategy,knowledge,1
292,Customer Journey Mapping,knowledge,1
293,Cybersecurity,knowledge,6
294,Cybersecurity & Hardening,knowledge,3
295,Cybersecurity for Embedded Systems,knowledge,1
296,DAMA-DMBOK,knowledge,1
297,DPIA,knowledge,1
298,Data Architecture,knowledge,1
299,Data Governance,knowledge,5
300,Data Lineage,knowledge,1
301,Data Modeling,knowledge,5
302,Data Quality,knowledge,1
303,Data Visualization,knowledge,2
304,Data Warehousing,knowledge,2
305,Database Security,knowledge,1
306,Deep Learning,knowledge,4
307,Derivatives Pricing,knowledge,1
308,Design Patterns,knowledge,1
309,Design Systems,knowledge,1
310,Design Thinking,knowledge,1
311,Design Tokens,knowledge,1
312,DevOps,knowledge,2
313,DevSecOps,knowledge,6
314,Digital Forensics,knowledge,1
315,Digital Transformation,knowledge,2
316,Domain-Driven Design,knowledge,1
317,E-commerce,knowledge,1
318,ETL/ELT,knowledge,6
319,EU AI Act,knowledge,1
320,Embedded Systems,knowledge,1
321,English,knowledge,13
322,European Accessibility Act,knowledge,1
323,Explainable AI,knowledge,1
324,Fiber and Copper Cabling,knowledge,1
325,Fibre Channel/iSCSI,knowledge,1
326,FinOps,knowledge,1
327,Financial Mathematics,knowledge,1
328,GDPR,knowledge,10
329,Generative AI & LLMs,knowledge,4
330,Git,knowledge,1
331,GraphQL,knowledge,2
332,HVAC and Electrical Systems,knowledge,1
333,Hardware Troubleshooting,knowledge,1
334,High Availability,knowledge,1
335,Hypothesis Testing,knowledge,1
336,IAM,knowledge,3
337,IGA,knowledge,1
338,ISO 27001,knowledge,8
339,ISO/IEC 42001,knowledge,1
340,ISTQB Certification,knowledge,2
341,IT Governance,knowledge,1
342,ITIL,knowledge,7
343,Incident Response,knowledge,4
344,Inclusive Design,knowledge,1
345,Infrastructure as Code,knowledge,3
346,Internal Audit,knowledge,1
347,IoT Connectivity,knowledge,1
348,Italian Law 48/2008,knowledge,1
349,Italian Privacy Code,knowledge,1
350,LLMs,knowledge,1
351,Linux,knowledge,10
352,MITRE ATT&CK,knowledge,2
353,MLOps,knowledge,2
354,MVVM,knowledge,1
355,MVVM/MVI,knowledge,1
356,Machine Learning,knowledge,4
357,Malware Analysis,knowledge,1
358,Master Data Management,knowledge,1
359,Mathematics & Statistics,knowledge,3
360,Mathematics for 3D,knowledge,1
361,Metadata Management,knowledge,1
362,Micro-frontends,knowledge,1
363,Microservices,knowledge,25
364,Mobile Application Security,knowledge,1
365,Mobile Development,knowledge,1
366,Multithreading & Concurrency,knowledge,1
367,NIS2/DORA,knowledge,2
368,NIST CSF,knowledge,3
369,NLP,knowledge,3
370,Network Protocols,knowledge,1
371,Network Security,knowledge,5
372,"Networking (TCP/IP, DNS, VPN)",knowledge,6
373,Neural Network Architectures,knowledge,1
374,NoSQL,knowledge,1
375,OAuth2/JWT,knowledge,1
376,OOP,knowledge,2
377,OWASP Top 10,knowledge,3
378,Object Detection & Segmentation,knowledge,1
379,Observability,knowledge,1
380,PAM,knowledge,1
381,PKI,knowledge,1
382,Patch Management,knowledge,1
383,Performance Optimization,knowledge,1
384,Performance Tuning,knowledge,2
385,Physical Security Protocols,knowledge,1
386,Post-Quantum Cryptography,knowledge,1
387,Privacy by Design,knowledge,1
388,Project Management,knowledge,1
389,RAG,knowledge,1
390,REST APIs,knowledge,16
391,RTOS Concepts,knowledge,1
392,Regression Testing,knowledge,1
393,Reverse Engineering,knowledge,1
394,Risk & Credit Scoring,knowledge,1
395,Risk Management,knowledge,5
396,Routing & Switching,knowledge,2
397,SAML/OAuth/OIDC,knowledge,1
398,SAN/NAS Architectures,knowledge,2
399,SAST/DAST/SCA,knowledge,1
400,SD-WAN,knowledge,2
401,SDLC,knowledge,2
402,SEO Principles,knowledge,1
403,SIEM,knowledge,1
404,SOC2,knowledge,1
405,SOLID Principles,knowledge,1
406,Security,knowledge,4
407,Security/IAM,knowledge,1
408,Service Blueprinting,knowledge,1
409,Shaders,knowledge,1
410,Stakeholder Management,knowledge,1
411,Static and Dynamic Analysis,knowledge,1
412,Statistics,knowledge,5
413,Stochastic Calculus,knowledge,1
414,System Design & Architecture,knowledge,1
415,TCP/IP & Networking Protocols,knowledge,3
416,TOGAF,knowledge,1
417,Testing (Jest/RTL),knowledge,2
418,Threat Intelligence,knowledge,1
419,UML,knowledge,1
420,UX Research,knowledge,1
421,UX/UI Design,knowledge,1
422,Unit Testing,knowledge,3
423,Unit Testing (JUnit/NUnit),knowledge,1
424,Unit Testing (Jasmine/Karma/Cypress),knowledge,1
425,Unit Testing (Jest/Cypress),knowledge,1
426,Unit Testing (XCTest),knowledge,1
427,User Research,knowledge,1
428,User-Centered Design,knowledge,1
429,VPN Technologies,knowledge,1
430,Vendor Management,knowledge,1
431,Vulnerability Management,knowledge,1
432,WAI-ARIA,knowledge,1
433,WCAG 2.1/2.2,knowledge,1
434,WebAssembly,knowledge,1
435,Windows Internals,knowledge,1
436,Workshop Facilitation,knowledge,1
437,XR/AR/VR Development,knowledge,1
438,Zero Trust Architecture,knowledge,3
439,Zero-Knowledge Proofs,knowledge,1
