id,skill,type
153,FTK (Forensic Toolkit),software
154,Cellebrite,software
155,Volatility,software
156,Wireshark,software
157,Git,software
158,STM32Cube / HAL,software
159,MATLAB / Simulink,software
160,Oscilloscopes & Logic Analyzers,software
161,Microsoft Azure,software
162,AWS,software
163,SAP,software
164,ArchiMate,software
165,Salesforce,software
166,Git,software
167,STM32CubeIDE,software
168,Logic Analyzers/Oscilloscopes,software
169,Git,software
170,Figma,software
171,Docker,software
172,Git,software
173,Docker,software
174,AWS,software
175,Azure,software
176,Kubernetes,software
177,Microsoft Excel,software
178,ServiceNow GRC,software
179,OneTrust,software
180,SAP GRC,software
181,Git,software
182,Visual Studio,software
183,Docker,software
184,Kubernetes,software
185,AWS,software
186,PostgreSQL,software
187,Git,software
188,Redis,software
189,Microsoft Entra ID (Azure AD),software
190,SailPoint,software
191,CyberArk,software
192,Okta,software
193,Microsoft Azure,software
194,SAP,software
195,AWS,software
196,Microsoft 365,software
197,ServiceNow,software
198,Jira,software
199,Terraform,software
200,Kubernetes,software
201,Docker,software
202,Git,software
203,AWS,software
204,Azure,software
205,Ansible,software
206,Splunk,software
207,Microsoft Sentinel,software
208,CrowdStrike,software
209,Wireshark,software
210,Git,software
211,Docker,software
212,Maven / Gradle,software
213,Kubernetes,software
214,Docker,software
215,Kubernetes,software
216,Terraform,software
217,AWS,software
218,Azure,software
219,Git,software
220,AWS,software
221,Docker,software
222,IDA Pro,software
223,Wireshark,software
224,Ghidra,software
225,EDR/XDR Systems,software
226,YARA,software
227,Sandbox Environments (Cuckoo/Any.Run),software
228,Android Studio,software
229,Git,software
230,Firebase,software
231,Jira/Confluence,software
232,Xcode,software
233,Git,software
234,CI/CD (Fastlane/Jenkins),software
235,Firebase,software
236,Git,software
237,AWS,software
238,Docker,software
239,Terraform,software
240,Ansible,software
241,Cisco (Catalyst/Nexus/Meraki),software
242,Fortinet/Palo Alto Networks,software
243,Check Point,software
244,F5 Load Balancers,software
245,Cisco IOS/NX-OS,software
246,Fortinet FortiGate,software
247,Palo Alto Networks,software
248,Ansible,software
249,Wireshark,software
250,Cisco DNA Center,software
251,Fortinet FortiGate,software
252,Cisco ASA/Firepower,software
253,Palo Alto Networks,software
254,Check Point,software
255,Splunk,software
256,Git,software
257,Docker,software
258,AWS,software
259,Burp Suite,software
260,Metasploit,software
261,Nmap,software
262,Nessus,software
263,Kali Linux,software
264,Wireshark,software
265,Kubernetes,software
266,Terraform,software
267,Docker,software
268,AWS,software
269,Azure,software
270,Prometheus,software
271,Ansible,software
272,Cloud Computing (Azure/AWS/GCP),software
273,Tableau / Power BI,software
274,Hadoop / Hive,software
275,Git,software
276,Docker,software
277,PostgreSQL,software
278,AWS,software
279,Kubernetes,software
280,Jira,software
281,Git,software
282,Postman,software
283,Jenkins,software
284,Docker,software
285,Jira,software
286,Postman,software
287,Confluence,software
288,Excel/VBA,software
289,AWS,software
290,Bloomberg Terminal,software
291,Git,software
292,Docker,software
293,Figma,software
294,Git,software
295,Docker,software
296,Figma,software
297,PostgreSQL,software
298,Git,software
299,Docker,software
300,AWS,software
301,Redis,software
302,Git,software
303,Docker,software
304,AWS,software
305,Linux,software
306,Kubernetes,software
307,PostgreSQL,software
308,Jenkins,software
309,Docker,software
310,Git,software
311,Postman/Insomnia,software
312,Jira,software
313,"SIEM (Splunk, QRadar, Sentinel)",software
314,"EDR Solutions (CrowdStrike, SentinelOne)",software
315,Microsoft Azure / Entra ID,software
316,Amazon Web Services (AWS),software
317,SIEM (Splunk / Microsoft Sentinel),software
318,Terraform,software
319,Kubernetes,software
320,Figma,software
321,Miro,software
322,Adobe Creative Suite,software
323,Kubernetes,software
324,Terraform,software
325,Docker,software
326,AWS,software
327,Prometheus/Grafana,software
328,Azure,software
329,Ansible,software
330,AWS,software
331,Kubernetes,software
332,Azure,software
333,Docker,software
334,Kafka,software
335,AWS,software
336,Azure,software
337,Kubernetes,software
338,Docker,software
339,Terraform,software
340,SAS,software
341,Microsoft Excel,software
342,Tableau,software
343,Power BI,software
344,NetApp (ONTAP),software
345,Dell EMC (Unity/PowerStore),software
346,Veeam Backup & Replication,software
347,VMware vSphere,software
348,Ansible,software
349,Commvault,software
350,Brocade / Cisco SAN Switches,software
351,Docker,software
352,Kubernetes,software
353,VMware vSphere,software
354,Git,software
355,Windows Server (2016/2019/2022),software
356,Active Directory & Group Policy,software
357,VMware vSphere / ESXi,software
358,Microsoft 365 / Exchange Online,software
359,Veeam Backup & Replication,software
360,Windows Server (2016/2019/2022),software
361,Active Directory & Group Policy,software
362,VMware vSphere / ESXi,software
363,Microsoft 365 / Exchange Online,software
364,Veeam Backup & Replication,software
365,Linux (RHEL/Ubuntu/CentOS),software
366,Docker & Kubernetes,software
367,Ansible & Terraform,software
368,Windows Server & Active Directory,software
369,VMware vSphere,software
370,Jira,software
371,Confluence,software
372,Microsoft Project,software
373,Tableau / PowerBI,software
374,Figma,software
375,Jira,software
376,Miro,software
377,Frontitude,software
378,VMware vSphere,software
379,Ansible,software
380,Terraform,software
381,Veeam,software
382,Microsoft Azure,software
383,Docker,software
384,Kubernetes,software
385,Qualys,software
386,Tenable / Nessus,software
387,ServiceNow,software
388,WordPress Core,software
389,Git,software
390,Elementor/Divi,software
